personId,machineId,gender,age,attendanceTime,attentionTime,date
1,1,M,24,18,16,11/12/2015 09:52
2,1,M,33,1,0,11/12/2015 10:00
3,1,M,33,4,3,11/12/2015 10:00
4,1,M,33,1,0,11/12/2015 10:00
5,1,M,70,1,0,11/12/2015 10:00
6,1,F,70,1,0,11/12/2015 10:00
7,1,F,58,2,0,11/12/2015 10:01
8,1,M,24,3,1,11/12/2015 10:07
9,1,M,24,2,0,11/12/2015 10:07
10,1,M,24,2,0,11/12/2015 10:08
11,1,M,33,5,1,11/12/2015 10:16
12,1,M,33,2,0,11/12/2015 10:18
13,1,M,33,7,1,11/12/2015 10:19
14,1,M,58,5,0,11/12/2015 10:19
15,1,M,24,2,0,11/12/2015 10:21
16,1,M,24,7,1,11/12/2015 10:24
17,1,F,33,2,0,11/12/2015 10:25
18,1,M,24,2,0,11/12/2015 10:26
19,1,M,58,2,0,11/12/2015 10:26
20,1,M,24,2,0,11/12/2015 10:28
21,1,M,6,2,0,11/12/2015 10:28
22,1,M,33,8,0,11/12/2015 10:28
23,1,M,24,76,0,11/12/2015 10:29
24,1,M,33,2,0,11/12/2015 10:31
25,1,M,24,2,0,11/12/2015 10:32
26,1,M,70,2,0,11/12/2015 10:33
27,1,M,33,2,0,11/12/2015 10:35
28,1,M,33,2,0,11/12/2015 10:38
29,1,M,33,11,4,11/12/2015 10:38
30,1,M,33,1,0,11/12/2015 10:39
31,1,M,24,6,5,11/12/2015 10:40
32,1,M,6,1,0,11/12/2015 10:40
33,1,M,24,4,1,11/12/2015 10:43
34,1,M,24,4,1,11/12/2015 10:43
35,1,M,6,2,0,11/12/2015 10:44
36,1,M,33,9,4,11/12/2015 10:44
37,1,M,24,1,0,11/12/2015 10:45
38,1,M,33,1,0,11/12/2015 10:47
39,1,M,24,7,1,11/12/2015 10:48
40,1,M,33,8,0,11/12/2015 10:50
41,1,M,33,2,0,11/12/2015 10:51
42,1,F,58,1,0,11/12/2015 10:51
43,1,M,33,1,0,11/12/2015 10:52
44,1,M,33,2,0,11/12/2015 10:53
45,1,F,6,3,1,11/12/2015 10:53
46,1,M,33,2,0,11/12/2015 10:53
47,1,F,33,2,0,11/12/2015 10:53
48,1,M,33,2,0,11/12/2015 10:55
49,1,F,33,2,0,11/12/2015 10:55
50,1,M,24,2,1,11/12/2015 10:55
51,1,F,33,1,0,11/12/2015 10:55
52,1,F,33,1,0,11/12/2015 10:58
53,1,M,33,49,27,11/12/2015 10:59
54,1,M,33,6,0,11/12/2015 10:59
55,1,M,33,11,8,11/12/2015 11:00
56,1,M,58,12,1,11/12/2015 11:00
57,1,M,24,1,0,11/12/2015 11:01
58,1,F,33,4,0,11/12/2015 11:01
59,1,M,33,4,0,11/12/2015 11:02
60,1,M,33,2,0,11/12/2015 11:02
61,1,M,33,1,0,11/12/2015 11:02
62,1,M,33,1,0,11/12/2015 11:03
63,1,M,24,1,0,11/12/2015 11:03
64,1,F,33,3,0,11/12/2015 11:03
65,1,F,33,1,0,11/12/2015 11:03
66,1,M,33,1,0,11/12/2015 11:04
67,1,M,33,1,0,11/12/2015 11:04
68,1,F,6,1,0,11/12/2015 11:05
69,1,M,58,7,0,11/12/2015 11:06
70,1,F,33,1,0,11/12/2015 11:07
71,1,M,70,90,41,11/12/2015 11:07
72,1,M,33,1,0,11/12/2015 11:08
73,1,M,33,11,2,11/12/2015 11:08
74,1,M,33,24,12,11/12/2015 11:08
75,1,M,70,12,9,11/12/2015 11:09
76,1,M,33,2,0,11/12/2015 11:10
77,1,F,33,1,0,11/12/2015 11:11
78,1,F,24,1,0,11/12/2015 11:12
79,1,F,24,1,0,11/12/2015 11:13
80,1,M,33,2,0,11/12/2015 11:14
81,1,M,33,3,0,11/12/2015 11:15
82,1,F,33,2,1,11/12/2015 11:15
83,1,M,33,1,0,11/12/2015 11:19
84,1,F,24,1,0,11/12/2015 11:20
85,1,M,33,1,0,11/12/2015 11:21
86,1,M,33,2,0,11/12/2015 11:21
87,1,M,33,13,8,11/12/2015 11:21
88,1,M,58,3,1,11/12/2015 11:22
89,1,M,58,24,6,11/12/2015 11:23
90,1,M,33,14,8,11/12/2015 11:26
91,1,M,24,13,10,11/12/2015 11:26
92,1,M,24,24,13,11/12/2015 11:27
93,1,M,70,7,0,11/12/2015 11:27
94,1,M,33,2,0,11/12/2015 11:27
95,1,M,33,2,0,11/12/2015 11:29
96,1,M,33,4,1,11/12/2015 11:30
97,1,M,33,1,0,11/12/2015 11:30
98,1,F,24,1,0,11/12/2015 11:32
99,1,F,58,4,0,11/12/2015 11:32
100,1,F,6,2,0,11/12/2015 11:32
101,1,F,33,3,1,11/12/2015 11:32
102,1,M,33,1,0,11/12/2015 11:32
103,1,M,33,48,0,11/12/2015 11:32
104,1,M,6,6,0,11/12/2015 11:32
105,1,F,33,3,1,11/12/2015 11:33
106,1,F,33,1,0,11/12/2015 11:33
107,1,M,33,16,0,11/12/2015 11:33
108,1,M,58,1,0,11/12/2015 11:33
109,1,M,33,1,0,11/12/2015 11:33
110,1,M,58,2,0,11/12/2015 11:33
111,1,F,70,2,0,11/12/2015 11:34
112,1,F,58,14,0,11/12/2015 11:36
113,1,M,24,1,0,11/12/2015 11:37
114,1,F,58,1,0,11/12/2015 11:39
115,1,F,58,3,0,11/12/2015 11:39
116,1,F,33,3,1,11/12/2015 11:39
117,1,M,16,2,0,11/12/2015 11:39
118,1,M,33,2,0,11/12/2015 11:39
119,1,M,6,1,0,11/12/2015 11:40
120,1,M,33,1,0,11/12/2015 11:41
121,1,F,24,2,0,11/12/2015 11:41
122,1,M,70,1,0,11/12/2015 11:42
123,1,M,33,31,0,11/12/2015 11:42
124,1,M,58,565,0,11/12/2015 11:44
125,1,M,6,3,0,11/12/2015 11:45
126,1,M,24,5,2,11/12/2015 11:45
127,1,M,24,1,0,11/12/2015 11:46
128,1,M,24,3,1,11/12/2015 11:46
129,1,F,24,1,0,11/12/2015 11:47
130,1,M,70,3,0,11/12/2015 11:48
131,1,M,24,8,0,11/12/2015 11:48
132,1,M,33,1,0,11/12/2015 11:49
133,1,M,24,1,0,11/12/2015 11:50
134,1,F,6,1,0,11/12/2015 11:50
135,1,F,33,1,0,11/12/2015 11:51
136,1,F,70,4,0,11/12/2015 11:51
137,1,F,33,7,0,11/12/2015 11:52
138,1,M,33,1,0,11/12/2015 11:53
139,1,M,33,4,0,11/12/2015 11:53
140,1,M,70,1,0,11/12/2015 11:54
141,1,M,6,1,0,11/12/2015 11:54
142,1,F,33,2,0,11/12/2015 11:56
143,1,M,24,2,0,11/12/2015 11:58
144,1,M,24,10,1,11/12/2015 11:59
145,1,M,33,1,0,11/12/2015 12:00
146,1,M,70,5,0,11/12/2015 12:00
147,1,M,6,19,0,11/12/2015 12:00
148,1,M,33,9,1,11/12/2015 12:01
149,1,M,70,2,0,11/12/2015 12:01
150,1,M,6,3,1,11/12/2015 12:01
151,1,M,33,1,0,11/12/2015 12:02
152,1,M,58,2,0,11/12/2015 12:02
153,1,F,33,2,0,11/12/2015 12:03
154,1,M,33,1,0,11/12/2015 12:03
155,1,F,6,9,0,11/12/2015 12:03
156,1,M,33,1,0,11/12/2015 12:03
157,1,M,24,1,0,11/12/2015 12:03
158,1,M,24,4,0,11/12/2015 12:03
159,1,F,33,2,0,11/12/2015 12:05
160,1,F,33,8,0,11/12/2015 12:05
161,1,M,33,2,0,11/12/2015 12:06
162,1,F,33,82,33,11/12/2015 12:06
163,1,M,16,2,0,11/12/2015 12:08
164,1,M,33,2,0,11/12/2015 13:54
165,1,F,24,1,0,11/12/2015 13:55
166,1,M,24,2,0,11/12/2015 13:55
167,1,M,6,8,3,11/12/2015 13:55
168,1,F,33,9,6,11/12/2015 13:55
169,1,M,24,5,3,11/12/2015 13:55
170,1,M,6,18,2,11/12/2015 13:55
171,1,F,33,4,0,11/12/2015 13:56
172,1,F,33,100,6,11/12/2015 13:56
173,1,F,33,2,0,11/12/2015 13:57
174,1,M,24,61,0,11/12/2015 13:58
175,1,M,33,2,0,11/12/2015 13:58
176,1,M,33,1,0,11/12/2015 13:58
177,1,M,33,1,0,11/12/2015 13:58
178,1,M,33,1,0,11/12/2015 13:59
179,1,M,24,3,1,11/12/2015 13:59
180,1,M,24,4,0,11/12/2015 13:59
181,1,M,33,1,0,11/12/2015 13:59
182,1,M,33,1,0,11/12/2015 13:59
183,1,M,70,6,1,11/12/2015 13:59
184,1,F,33,3,0,11/12/2015 13:59
185,1,M,24,2,0,11/12/2015 14:00
186,1,M,33,1,0,11/12/2015 14:00
187,1,M,33,2,0,11/12/2015 14:00
188,1,M,24,1,0,11/12/2015 14:01
189,1,M,33,1,0,11/12/2015 14:02
190,1,M,24,2,0,11/12/2015 14:03
191,1,M,33,1,0,11/12/2015 14:03
192,1,M,33,45,4,11/12/2015 14:03
193,1,M,33,35,1,11/12/2015 14:04
194,1,M,24,2,0,11/12/2015 14:04
195,1,M,33,5,0,11/12/2015 14:06
196,1,M,33,4,2,11/12/2015 14:07
197,1,M,33,3,0,11/12/2015 14:07
198,1,F,24,2,0,11/12/2015 14:07
199,1,F,6,2,0,11/12/2015 14:07
200,1,M,33,3,1,11/12/2015 14:10
201,1,F,70,1,0,11/12/2015 14:17
202,1,M,33,1,0,11/12/2015 14:18
203,1,F,33,1,0,11/12/2015 14:18
204,1,M,33,4,0,11/12/2015 14:18
205,1,M,33,6,0,11/12/2015 14:25
206,1,F,70,4,0,11/12/2015 14:26
207,1,M,24,6,1,11/12/2015 14:27
208,1,F,33,2,0,11/12/2015 14:27
209,1,M,6,2,0,11/12/2015 14:27
210,1,M,33,15,2,11/12/2015 14:28
211,1,M,24,1,0,11/12/2015 14:31
212,1,M,24,4,1,11/12/2015 14:31
213,1,M,58,1,0,11/12/2015 14:34
214,1,M,24,2,0,11/12/2015 14:34
215,1,M,24,2,0,11/12/2015 14:38
216,1,F,24,1,0,11/12/2015 14:39
217,1,M,33,2,0,11/12/2015 14:40
218,1,M,33,5,2,11/12/2015 14:40
219,1,M,70,4,2,11/12/2015 14:41
220,1,M,58,2,0,11/12/2015 14:41
221,1,F,33,1,0,11/12/2015 14:42
222,1,M,58,48,44,11/12/2015 14:42
223,1,M,24,1,0,11/12/2015 14:45
224,1,M,33,1,0,11/12/2015 14:45
225,1,M,33,45,44,11/12/2015 14:46
226,1,M,24,3,1,11/12/2015 14:48
227,1,M,24,2,0,11/12/2015 14:48
228,1,F,33,1,0,11/12/2015 14:48
229,1,M,33,1,0,11/12/2015 14:52
230,1,F,58,6,0,11/12/2015 14:52
231,1,M,24,5,1,11/12/2015 14:52
232,1,M,33,1,0,11/12/2015 14:53
233,1,M,33,4,1,11/12/2015 14:53
234,1,M,24,2,0,11/12/2015 14:54
235,1,M,24,5,3,11/12/2015 14:54
236,1,M,33,27,11,11/12/2015 14:54
237,1,M,33,17,3,11/12/2015 14:54
238,1,M,24,4,3,11/12/2015 14:55
239,1,M,58,4,1,11/12/2015 14:55
240,1,M,33,3,0,11/12/2015 15:00
241,1,M,33,1,0,11/12/2015 15:00
242,1,M,33,2,0,11/12/2015 15:04
243,1,M,24,4,1,11/12/2015 15:05
244,1,M,33,1,0,11/12/2015 15:05
245,1,M,24,3,1,11/12/2015 15:06
246,1,M,16,3,1,11/12/2015 15:06
247,1,M,24,4,1,11/12/2015 15:08
248,1,F,24,3,1,11/12/2015 15:08
249,1,F,24,2,1,11/12/2015 15:11
250,1,F,33,1,0,11/12/2015 15:11
251,1,M,24,5,4,11/12/2015 15:12
252,1,M,58,2,0,11/12/2015 15:12
253,1,F,24,4,1,11/12/2015 15:15
254,1,M,24,2,0,11/12/2015 15:15
255,1,M,24,2,0,11/12/2015 15:15
256,1,M,16,3,1,11/12/2015 15:17
257,1,M,24,4,1,11/12/2015 15:17
258,1,M,24,1,0,11/12/2015 15:21
259,1,M,24,2,0,11/12/2015 15:21
260,1,M,24,1,0,11/12/2015 15:23
261,1,M,24,6,4,11/12/2015 15:23
262,1,F,24,1,0,11/12/2015 15:23
263,1,M,58,1,0,11/12/2015 15:24
264,1,F,58,1,0,11/12/2015 15:24
265,1,F,24,9,2,11/12/2015 15:25
266,1,F,24,3,1,11/12/2015 15:25
267,1,F,33,6,2,11/12/2015 15:25
268,1,M,33,4,1,11/12/2015 15:25
269,1,M,33,3,1,11/12/2015 15:26
270,1,M,58,7,4,11/12/2015 15:28
271,1,F,33,2,0,11/12/2015 15:28
272,1,F,33,12,8,11/12/2015 15:28
273,1,M,24,4,1,11/12/2015 15:28
274,1,M,70,3,1,11/12/2015 15:29
275,1,F,58,2,0,11/12/2015 15:32
276,1,F,24,3,1,11/12/2015 15:33
277,1,F,24,4,0,11/12/2015 15:33
278,1,F,6,2,0,11/12/2015 15:33
279,1,F,24,4,1,11/12/2015 15:36
280,1,F,33,2,0,11/12/2015 15:40
281,1,F,33,1,0,11/12/2015 15:40
282,1,M,33,2,0,11/12/2015 15:40
283,1,M,58,2,0,11/12/2015 15:42
284,1,M,70,2,0,11/12/2015 15:45
285,1,M,24,16,2,11/12/2015 15:45
286,1,M,24,6,3,11/12/2015 15:52
287,1,F,33,2,1,11/12/2015 15:52
288,1,M,33,38,31,11/12/2015 15:52
289,1,M,24,3,0,11/12/2015 15:53
290,1,F,33,2,0,11/12/2015 16:00
291,1,M,70,1,0,11/12/2015 16:02
292,1,F,33,3,0,11/12/2015 16:03
293,1,M,33,2,0,11/12/2015 16:05
294,1,F,33,2,0,11/12/2015 16:10
295,1,M,24,4,1,11/12/2015 16:16
296,1,M,33,5,1,11/12/2015 16:16
297,1,F,24,25,24,11/12/2015 16:16
298,1,F,33,5,3,11/12/2015 16:17
299,1,M,33,1,0,11/12/2015 16:17
300,1,M,33,7,2,11/12/2015 16:17
301,1,M,70,7,2,11/12/2015 16:18
302,1,M,6,2,1,11/12/2015 16:18
303,1,M,24,4,1,11/12/2015 16:19
304,1,M,33,2,0,11/12/2015 16:20
305,1,M,33,2,1,11/12/2015 16:20
306,1,M,58,2,0,11/12/2015 16:21
307,1,M,33,2,1,11/12/2015 16:21
308,1,M,33,5,1,11/12/2015 16:21
309,1,M,24,9,7,11/12/2015 16:26
310,1,F,33,1,0,11/12/2015 16:26
311,1,F,33,2,0,11/12/2015 16:28
312,1,F,33,3,1,11/12/2015 16:31
313,1,M,33,1,0,11/12/2015 16:31
314,1,M,24,5,3,11/12/2015 16:32
315,1,M,58,1,0,11/12/2015 16:33
316,1,M,24,2,0,11/12/2015 16:33
317,1,F,33,1,0,11/12/2015 16:33
318,1,M,33,1,0,11/12/2015 16:35
319,1,F,58,1,0,11/12/2015 16:35
320,1,M,24,2,1,11/12/2015 16:35
321,1,M,24,29,3,11/12/2015 16:36
322,1,F,33,1,0,11/12/2015 16:37
323,1,M,24,37,36,11/12/2015 16:37
324,1,M,33,2,0,11/12/2015 16:39
325,1,F,33,1,0,11/12/2015 16:40
326,1,M,24,49,38,11/12/2015 16:40
327,1,F,33,1,0,11/12/2015 16:41
328,1,M,24,2,0,11/12/2015 16:42
329,1,M,6,1,0,11/12/2015 16:43
330,1,M,33,1,0,11/12/2015 16:46
331,1,M,24,1,0,11/12/2015 16:48
332,1,F,16,1,0,11/12/2015 16:48
333,1,M,24,30,21,11/12/2015 16:50
334,1,F,33,1,0,11/12/2015 16:52
335,1,M,24,27,22,11/12/2015 16:52
336,1,M,24,4,1,11/12/2015 16:53
337,1,M,33,3,2,11/12/2015 16:53
338,1,M,6,2,0,11/12/2015 16:54
339,1,M,33,54,1,11/12/2015 16:55
340,1,M,24,3,3,11/12/2015 16:56
341,1,F,70,1,0,11/12/2015 16:58
342,1,M,24,31,25,11/12/2015 16:59
343,1,F,33,1,0,11/12/2015 17:00
344,1,F,24,1,0,11/12/2015 17:00
345,1,M,24,3,2,11/12/2015 17:01
346,1,F,24,1,0,11/12/2015 17:01
347,1,M,33,1,0,11/12/2015 17:01
348,1,M,24,1,0,11/12/2015 17:01
349,1,M,24,2,2,11/12/2015 17:04
350,1,M,58,1,0,11/12/2015 17:04
351,1,M,33,3,2,11/12/2015 17:05
352,1,M,33,3,1,11/12/2015 17:05
353,1,M,24,33,25,11/12/2015 17:06
354,1,M,33,8,6,11/12/2015 17:07
355,1,M,33,6,4,11/12/2015 17:07
356,1,M,24,2,1,11/12/2015 17:08
357,1,M,24,2,1,11/12/2015 17:08
358,1,M,6,2,0,11/12/2015 17:11
359,1,F,24,2,1,11/12/2015 17:14
360,1,F,33,2,0,11/12/2015 17:14
361,1,F,24,6,5,11/12/2015 17:15
362,1,M,33,3,2,11/12/2015 17:15
363,1,F,24,15,14,11/12/2015 17:15
364,1,F,24,2,1,11/12/2015 17:15
365,1,F,33,2,2,11/12/2015 17:15
