"personId","machineId","gender","age","attendanceTime","attentionTime","date"
1,1,"M",24,18,16,"2015-12-11 09:52:27"
2,1,"M",33,1,0,"2015-12-11 10:00:26"
3,1,"M",33,4,3,"2015-12-11 10:00:28"
4,1,"M",33,1,0,"2015-12-11 10:00:29"
5,1,"M",70,1,0,"2015-12-11 10:00:46"
6,1,"F",70,1,0,"2015-12-11 10:00:47"
7,1,"F",58,2,0,"2015-12-11 10:01:07"
8,1,"M",24,3,1,"2015-12-11 10:07:47"
9,1,"M",24,2,0,"2015-12-11 10:07:49"
10,1,"M",24,2,0,"2015-12-11 10:08:47"
11,1,"M",33,5,1,"2015-12-11 10:16:28"
12,1,"M",33,2,0,"2015-12-11 10:18:26"
13,1,"M",33,7,1,"2015-12-11 10:19:26"
14,1,"M",58,5,0,"2015-12-11 10:19:28"
15,1,"M",24,2,0,"2015-12-11 10:21:46"
16,1,"M",24,7,1,"2015-12-11 10:24:06"
17,1,"F",33,2,0,"2015-12-11 10:25:06"
18,1,"M",24,2,0,"2015-12-11 10:26:46"
19,1,"M",58,2,0,"2015-12-11 10:26:47"
20,1,"M",24,2,0,"2015-12-11 10:28:06"
21,1,"M",6,2,0,"2015-12-11 10:28:07"
22,1,"M",33,8,0,"2015-12-11 10:28:08"
23,1,"M",24,76,0,"2015-12-11 10:29:07"
24,1,"M",33,2,0,"2015-12-11 10:31:06"
25,1,"M",24,2,0,"2015-12-11 10:32:46"
26,1,"M",70,2,0,"2015-12-11 10:33:26"
27,1,"M",33,2,0,"2015-12-11 10:35:27"
28,1,"M",33,2,0,"2015-12-11 10:38:28"
29,1,"M",33,11,4,"2015-12-11 10:38:47"
30,1,"M",33,1,0,"2015-12-11 10:39:26"
31,1,"M",24,6,5,"2015-12-11 10:40:07"
32,1,"M",6,1,0,"2015-12-11 10:40:46"
33,1,"M",24,4,1,"2015-12-11 10:43:21"
34,1,"M",24,4,1,"2015-12-11 10:43:33"
35,1,"M",6,2,0,"2015-12-11 10:44:38"
36,1,"M",33,9,4,"2015-12-11 10:44:58"
37,1,"M",24,1,0,"2015-12-11 10:45:58"
38,1,"M",33,1,0,"2015-12-11 10:47:18"
39,1,"M",24,7,1,"2015-12-11 10:48:58"
40,1,"M",33,8,0,"2015-12-11 10:50:58"
41,1,"M",33,2,0,"2015-12-11 10:51:19"
42,1,"F",58,1,0,"2015-12-11 10:51:21"
43,1,"M",33,1,0,"2015-12-11 10:52:37"
44,1,"M",33,2,0,"2015-12-11 10:53:18"
45,1,"F",6,3,1,"2015-12-11 10:53:20"
46,1,"M",33,2,0,"2015-12-11 10:53:38"
47,1,"F",33,2,0,"2015-12-11 10:53:58"
48,1,"M",33,2,0,"2015-12-11 10:55:41"
49,1,"F",33,2,0,"2015-12-11 10:55:43"
50,1,"M",24,2,1,"2015-12-11 10:55:44"
51,1,"F",33,1,0,"2015-12-11 10:55:46"
52,1,"F",33,1,0,"2015-12-11 10:58:38"
53,1,"M",33,49,27,"2015-12-11 10:59:01"
54,1,"M",33,6,0,"2015-12-11 10:59:39"
55,1,"M",33,11,8,"2015-12-11 11:00:42"
56,1,"M",58,12,1,"2015-12-11 11:00:59"
57,1,"M",24,1,0,"2015-12-11 11:01:22"
58,1,"F",33,4,0,"2015-12-11 11:01:29"
59,1,"M",33,4,0,"2015-12-11 11:02:01"
60,1,"M",33,2,0,"2015-12-11 11:02:39"
61,1,"M",33,1,0,"2015-12-11 11:02:41"
62,1,"M",33,1,0,"2015-12-11 11:03:01"
63,1,"M",24,1,0,"2015-12-11 11:03:08"
64,1,"F",33,3,0,"2015-12-11 11:03:38"
65,1,"F",33,1,0,"2015-12-11 11:03:40"
66,1,"M",33,1,0,"2015-12-11 11:04:18"
67,1,"M",33,1,0,"2015-12-11 11:04:59"
68,1,"F",6,1,0,"2015-12-11 11:05:41"
69,1,"M",58,7,0,"2015-12-11 11:06:01"
70,1,"F",33,1,0,"2015-12-11 11:07:19"
71,1,"M",70,90,41,"2015-12-11 11:07:40"
72,1,"M",33,1,0,"2015-12-11 11:08:00"
73,1,"M",33,11,2,"2015-12-11 11:08:37"
74,1,"M",33,24,12,"2015-12-11 11:08:59"
75,1,"M",70,12,9,"2015-12-11 11:09:21"
76,1,"M",33,2,0,"2015-12-11 11:10:40"
77,1,"F",33,1,0,"2015-12-11 11:11:01"
78,1,"F",24,1,0,"2015-12-11 11:12:01"
79,1,"F",24,1,0,"2015-12-11 11:13:41"
80,1,"M",33,2,0,"2015-12-11 11:14:42"
81,1,"M",33,3,0,"2015-12-11 11:15:21"
82,1,"F",33,2,1,"2015-12-11 11:15:22"
83,1,"M",33,1,0,"2015-12-11 11:19:21"
84,1,"F",24,1,0,"2015-12-11 11:20:41"
85,1,"M",33,1,0,"2015-12-11 11:21:21"
86,1,"M",33,2,0,"2015-12-11 11:21:24"
87,1,"M",33,13,8,"2015-12-11 11:21:43"
88,1,"M",58,3,1,"2015-12-11 11:22:00"
89,1,"M",58,24,6,"2015-12-11 11:23:41"
90,1,"M",33,14,8,"2015-12-11 11:26:21"
91,1,"M",24,13,10,"2015-12-11 11:26:58"
92,1,"M",24,24,13,"2015-12-11 11:27:17"
93,1,"M",70,7,0,"2015-12-11 11:27:57"
94,1,"M",33,2,0,"2015-12-11 11:27:59"
95,1,"M",33,2,0,"2015-12-11 11:29:22"
96,1,"M",33,4,1,"2015-12-11 11:30:01"
97,1,"M",33,1,0,"2015-12-11 11:30:22"
98,1,"F",24,1,0,"2015-12-11 11:32:02"
99,1,"F",58,4,0,"2015-12-11 11:32:20"
100,1,"F",6,2,0,"2015-12-11 11:32:40"
101,1,"F",33,3,1,"2015-12-11 11:32:42"
102,1,"M",33,1,0,"2015-12-11 11:32:43"
103,1,"M",33,48,0,"2015-12-11 11:32:45"
104,1,"M",6,6,0,"2015-12-11 11:32:48"
105,1,"F",33,3,1,"2015-12-11 11:33:03"
106,1,"F",33,1,0,"2015-12-11 11:33:04"
107,1,"M",33,16,0,"2015-12-11 11:33:06"
108,1,"M",58,1,0,"2015-12-11 11:33:21"
109,1,"M",33,1,0,"2015-12-11 11:33:22"
110,1,"M",58,2,0,"2015-12-11 11:33:24"
111,1,"F",70,2,0,"2015-12-11 11:34:01"
112,1,"F",58,14,0,"2015-12-11 11:36:20"
113,1,"M",24,1,0,"2015-12-11 11:37:41"
114,1,"F",58,1,0,"2015-12-11 11:39:00"
115,1,"F",58,3,0,"2015-12-11 11:39:03"
116,1,"F",33,3,1,"2015-12-11 11:39:05"
117,1,"M",16,2,0,"2015-12-11 11:39:20"
118,1,"M",33,2,0,"2015-12-11 11:39:22"
119,1,"M",6,1,0,"2015-12-11 11:40:20"
120,1,"M",33,1,0,"2015-12-11 11:41:00"
121,1,"F",24,2,0,"2015-12-11 11:41:23"
122,1,"M",70,1,0,"2015-12-11 11:42:03"
123,1,"M",33,31,0,"2015-12-11 11:42:22"
124,1,"M",58,565,0,"2015-12-11 11:44:22"
125,1,"M",6,3,0,"2015-12-11 11:45:22"
126,1,"M",24,5,2,"2015-12-11 11:45:30"
127,1,"M",24,1,0,"2015-12-11 11:46:03"
128,1,"M",24,3,1,"2015-12-11 11:46:41"
129,1,"F",24,1,0,"2015-12-11 11:47:42"
130,1,"M",70,3,0,"2015-12-11 11:48:02"
131,1,"M",24,8,0,"2015-12-11 11:48:04"
132,1,"M",33,1,0,"2015-12-11 11:49:41"
133,1,"M",24,1,0,"2015-12-11 11:50:00"
134,1,"F",6,1,0,"2015-12-11 11:50:02"
135,1,"F",33,1,0,"2015-12-11 11:51:20"
136,1,"F",70,4,0,"2015-12-11 11:51:40"
137,1,"F",33,7,0,"2015-12-11 11:52:41"
138,1,"M",33,1,0,"2015-12-11 11:53:21"
139,1,"M",33,4,0,"2015-12-11 11:53:41"
140,1,"M",70,1,0,"2015-12-11 11:54:20"
141,1,"M",6,1,0,"2015-12-11 11:54:58"
142,1,"F",33,2,0,"2015-12-11 11:56:18"
143,1,"M",24,2,0,"2015-12-11 11:58:43"
144,1,"M",24,10,1,"2015-12-11 11:59:04"
145,1,"M",33,1,0,"2015-12-11 12:00:43"
146,1,"M",70,5,0,"2015-12-11 12:00:46"
147,1,"M",6,19,0,"2015-12-11 12:00:47"
148,1,"M",33,9,1,"2015-12-11 12:01:40"
149,1,"M",70,2,0,"2015-12-11 12:01:42"
150,1,"M",6,3,1,"2015-12-11 12:01:43"
151,1,"M",33,1,0,"2015-12-11 12:02:40"
152,1,"M",58,2,0,"2015-12-11 12:02:59"
153,1,"F",33,2,0,"2015-12-11 12:03:01"
154,1,"M",33,1,0,"2015-12-11 12:03:03"
155,1,"F",6,9,0,"2015-12-11 12:03:21"
156,1,"M",33,1,0,"2015-12-11 12:03:41"
157,1,"M",24,1,0,"2015-12-11 12:03:42"
158,1,"M",24,4,0,"2015-12-11 12:03:57"
159,1,"F",33,2,0,"2015-12-11 12:05:04"
160,1,"F",33,8,0,"2015-12-11 12:05:43"
161,1,"M",33,2,0,"2015-12-11 12:06:23"
162,1,"F",33,82,33,"2015-12-11 12:06:35"
163,1,"M",16,2,0,"2015-12-11 12:08:04"
164,1,"M",33,2,0,"2015-12-11 13:54:25"
165,1,"F",24,1,0,"2015-12-11 13:55:05"
166,1,"M",24,2,0,"2015-12-11 13:55:25"
167,1,"M",6,8,3,"2015-12-11 13:55:27"
168,1,"F",33,9,6,"2015-12-11 13:55:29"
169,1,"M",24,5,3,"2015-12-11 13:55:31"
170,1,"M",6,18,2,"2015-12-11 13:55:48"
171,1,"F",33,4,0,"2015-12-11 13:56:26"
172,1,"F",33,100,6,"2015-12-11 13:56:46"
173,1,"F",33,2,0,"2015-12-11 13:57:05"
174,1,"M",24,61,0,"2015-12-11 13:58:26"
175,1,"M",33,2,0,"2015-12-11 13:58:27"
176,1,"M",33,1,0,"2015-12-11 13:58:46"
177,1,"M",33,1,0,"2015-12-11 13:58:47"
178,1,"M",33,1,0,"2015-12-11 13:59:06"
179,1,"M",24,3,1,"2015-12-11 13:59:07"
180,1,"M",24,4,0,"2015-12-11 13:59:08"
181,1,"M",33,1,0,"2015-12-11 13:59:10"
182,1,"M",33,1,0,"2015-12-11 13:59:11"
183,1,"M",70,6,1,"2015-12-11 13:59:12"
184,1,"F",33,3,0,"2015-12-11 13:59:25"
185,1,"M",24,2,0,"2015-12-11 14:00:05"
186,1,"M",33,1,0,"2015-12-11 14:00:26"
187,1,"M",33,2,0,"2015-12-11 14:00:27"
188,1,"M",24,1,0,"2015-12-11 14:01:26"
189,1,"M",33,1,0,"2015-12-11 14:02:45"
190,1,"M",24,2,0,"2015-12-11 14:03:49"
191,1,"M",33,1,0,"2015-12-11 14:03:50"
192,1,"M",33,45,4,"2015-12-11 14:03:52"
193,1,"M",33,35,1,"2015-12-11 14:04:25"
194,1,"M",24,2,0,"2015-12-11 14:04:45"
195,1,"M",33,5,0,"2015-12-11 14:06:27"
196,1,"M",33,4,2,"2015-12-11 14:07:05"
197,1,"M",33,3,0,"2015-12-11 14:07:07"
198,1,"F",24,2,0,"2015-12-11 14:07:09"
199,1,"F",6,2,0,"2015-12-11 14:07:10"
200,1,"M",33,3,1,"2015-12-11 14:10:29"
201,1,"F",70,1,0,"2015-12-11 14:17:25"
202,1,"M",33,1,0,"2015-12-11 14:18:05"
203,1,"F",33,1,0,"2015-12-11 14:18:25"
204,1,"M",33,4,0,"2015-12-11 14:18:26"
205,1,"M",33,6,0,"2015-12-11 14:25:46"
206,1,"F",70,4,0,"2015-12-11 14:26:46"
207,1,"M",24,6,1,"2015-12-11 14:27:06"
208,1,"F",33,2,0,"2015-12-11 14:27:26"
209,1,"M",6,2,0,"2015-12-11 14:27:28"
210,1,"M",33,15,2,"2015-12-11 14:28:46"
211,1,"M",24,1,0,"2015-12-11 14:31:29"
212,1,"M",24,4,1,"2015-12-11 14:31:31"
213,1,"M",58,1,0,"2015-12-11 14:34:29"
214,1,"M",24,2,0,"2015-12-11 14:34:33"
215,1,"M",24,2,0,"2015-12-11 14:38:07"
216,1,"F",24,1,0,"2015-12-11 14:39:09"
217,1,"M",33,2,0,"2015-12-11 14:40:31"
218,1,"M",33,5,2,"2015-12-11 14:40:44"
219,1,"M",70,4,2,"2015-12-11 14:41:31"
220,1,"M",58,2,0,"2015-12-11 14:41:50"
221,1,"F",33,1,0,"2015-12-11 14:42:31"
222,1,"M",58,48,44,"2015-12-11 14:42:43"
223,1,"M",24,1,0,"2015-12-11 14:45:13"
224,1,"M",33,1,0,"2015-12-11 14:45:26"
225,1,"M",33,45,44,"2015-12-11 14:46:06"
226,1,"M",24,3,1,"2015-12-11 14:48:26"
227,1,"M",24,2,0,"2015-12-11 14:48:29"
228,1,"F",33,1,0,"2015-12-11 14:48:46"
229,1,"M",33,1,0,"2015-12-11 14:52:26"
230,1,"F",58,6,0,"2015-12-11 14:52:46"
231,1,"M",24,5,1,"2015-12-11 14:52:49"
232,1,"M",33,1,0,"2015-12-11 14:53:46"
233,1,"M",33,4,1,"2015-12-11 14:53:49"
234,1,"M",24,2,0,"2015-12-11 14:54:26"
