"CountID";"SensorID";"DateTime";"PeopleIn";"PeopleOut";"SmallGroup";"MediumGroup";"LargeGroup"
1;343113141;"2014-12-17 16:15:00";6;17;0;0;0
2;343113141;"2014-12-17 16:30:00";1;5;0;0;0
3;343113141;"2014-12-17 16:45:00";1;0;0;0;0
4;343113141;"2014-12-17 17:00:00";0;1;0;0;0
5;343113141;"2014-12-17 17:30:00";1;1;0;0;0
6;343113141;"2014-12-17 17:45:00";0;4;0;0;0
7;343113141;"2014-12-17 18:00:00";2;4;0;0;0
8;343113141;"2014-12-17 18:15:00";3;8;0;0;0
9;343113141;"2014-12-18 06:15:00";2;0;0;0;0
10;343113141;"2014-12-18 07:15:00";1;1;0;0;0
11;343113141;"2014-12-18 08:15:00";1;1;0;0;0
12;343113141;"2014-12-18 08:45:00";2;1;0;0;0
13;343113141;"2014-12-18 09:00:00";5;1;0;0;0
14;343113141;"2014-12-18 09:15:00";7;1;0;0;0
15;343113141;"2014-12-18 09:30:00";4;1;0;0;0
16;343113141;"2014-12-18 10:15:00";2;4;0;0;0
17;343113141;"2014-12-18 10:30:00";3;0;0;0;0
18;343113141;"2014-12-18 10:45:00";1;2;0;0;0
19;343113141;"2014-12-18 11:00:00";4;2;0;0;0
20;343113141;"2014-12-18 11:15:00";6;2;0;0;0
21;343113141;"2014-12-18 11:30:00";4;7;0;0;0
22;343113141;"2014-12-18 11:45:00";4;2;0;0;0
23;343113141;"2014-12-18 12:00:00";4;1;0;0;0
24;343113141;"2014-12-18 12:15:00";0;3;0;0;0
25;343113141;"2014-12-18 12:30:00";1;0;0;0;0
26;343113141;"2014-12-18 12:45:00";4;1;0;0;0
27;343113141;"2014-12-18 13:00:00";3;5;0;0;0
28;343113141;"2014-12-18 13:15:00";1;5;0;0;0
29;343113141;"2014-12-18 13:30:00";3;1;0;0;0
30;343113141;"2014-12-18 13:45:00";3;2;0;0;0
31;343113141;"2014-12-18 14:00:00";3;4;0;0;0
32;343113141;"2014-12-18 14:15:00";10;5;0;0;0
33;343113141;"2014-12-18 14:30:00";15;9;0;0;0
34;343113141;"2014-12-18 14:45:00";6;6;0;0;0
35;343113141;"2014-12-18 15:00:00";3;13;0;0;0
36;343113141;"2014-12-18 15:15:00";6;7;0;0;0
37;343113141;"2014-12-18 15:30:00";1;5;0;0;0
38;343113141;"2014-12-18 15:45:00";0;2;0;0;0
39;343113141;"2014-12-18 16:00:00";5;2;0;0;0
40;343113141;"2014-12-18 16:15:00";3;12;0;0;0
41;343113141;"2014-12-18 16:45:00";3;4;0;0;0
42;343113141;"2014-12-18 17:00:00";3;6;0;0;0
43;343113141;"2014-12-18 17:15:00";1;0;0;0;0
44;343113141;"2014-12-18 17:30:00";2;3;0;0;0
45;343113141;"2014-12-18 17:45:00";0;2;0;0;0
46;343113141;"2014-12-18 18:15:00";0;3;0;0;0
47;343113141;"2014-12-18 19:00:00";1;1;0;0;0
48;343113141;"2014-12-18 20:00:00";2;1;0;0;0
49;343113141;"2014-12-18 20:15:00";1;2;0;0;0
50;343113141;"2014-12-19 06:00:00";1;0;0;0;0
51;343113141;"2014-12-19 07:00:00";0;1;0;0;0
52;343113141;"2014-12-19 07:15:00";2;2;0;0;0
53;343113141;"2014-12-19 07:30:00";9;10;0;0;0
54;343113141;"2014-12-19 08:45:00";3;1;0;0;0
55;343113141;"2014-12-19 09:00:00";1;4;0;0;0
56;343113141;"2014-12-19 09:15:00";4;0;0;0;0
57;343113141;"2014-12-19 09:30:00";2;2;0;0;0
58;343113141;"2014-12-19 09:45:00";1;1;0;0;0
59;343113141;"2014-12-19 10:00:00";3;1;0;0;0
60;343113141;"2014-12-19 10:15:00";0;1;0;0;0
61;343113141;"2014-12-19 10:30:00";10;12;0;0;0
62;343113141;"2014-12-19 10:45:00";3;4;0;0;0
63;343113141;"2014-12-19 11:00:00";1;0;0;0;0
